timestamp,computer_name,cpu_usage,memory_usage,disk_usage,network_bytes_sent,network_bytes_recv,local_ip,public_ip,smartcare_status,sql_server_status,smartlink_status,etims_status,tims_status
2024-11-14T12:19:06.209819,EBLLEQA345C0T4,7.7,87.8,62.4,184465578,640090261,10.10.49.143,196.11.88.131,Stopped,Stopped,Stopped,Stopped,Stopped
2024-11-14T12:19:18.643112,EBLLEQA345C0T4,13.2,87.8,62.4,184502400,640110249,10.10.49.143,196.11.88.131,Stopped,Stopped,Stopped,Stopped,Stopped
2024-11-14T12:19:31.193714,EBLLEQA345C0T4,6.6,87.4,62.4,184570641,640146031,10.10.49.143,196.11.88.131,Stopped,Stopped,Stopped,Stopped,Stopped
2024-11-14T12:19:43.602289,EBLLEQA345C0T4,8.6,88.9,62.4,184631402,640177992,10.10.49.143,196.11.88.131,Stopped,Stopped,Stopped,Stopped,Stopped
2024-11-14T12:19:55.994681,EBLLEQA345C0T4,10.6,89.4,62.4,184715532,640237434,10.10.49.143,196.11.88.131,Stopped,Stopped,Stopped,Stopped,Stopped
2024-11-14T12:20:08.475849,EBLLEQA345C0T4,9.5,88.8,62.4,184789234,640270305,10.10.49.143,196.11.88.131,Stopped,Stopped,Stopped,Stopped,Stopped
2024-11-14T12:20:20.761237,EBLLEQA345C0T4,7.0,85.5,62.4,184829430,640292711,10.10.49.143,196.11.88.131,Stopped,Stopped,Stopped,Stopped,Stopped
2024-11-14T12:20:33.419816,EBLLEQA345C0T4,11.3,86.5,62.4,184871220,640318119,10.10.49.143,196.11.88.131,Stopped,Stopped,Stopped,Stopped,Stopped
